iter	Passed	Remaining
0	46	4606
1	47	2304
2	47	1536
3	47	1150
4	48	919
5	48	765
6	49	655
7	49	572
8	50	508
9	50	456
10	51	413
11	51	378
12	52	348
13	52	322
14	52	300
15	53	280
16	53	263
17	54	247
18	54	233
19	55	220
20	55	209
21	56	198
22	56	189
23	57	180
24	57	172
25	57	164
26	58	157
27	58	151
28	59	145
29	59	139
30	60	134
31	60	128
32	61	124
33	61	119
34	61	115
35	62	110
36	62	106
37	63	103
38	63	99
39	64	96
40	64	92
41	65	89
42	65	86
43	65	83
44	66	80
45	66	78
46	67	75
47	67	73
48	67	70
49	68	68
50	68	66
51	69	63
52	69	61
53	70	59
54	70	57
55	71	55
56	71	53
57	71	52
58	72	50
59	72	48
60	73	46
61	73	45
62	74	43
63	74	41
64	75	40
65	75	38
66	75	37
67	76	35
68	76	34
69	77	33
70	77	31
71	78	30
72	78	29
73	79	27
74	79	26
75	79	25
76	80	24
77	80	22
78	81	21
79	81	20
80	82	19
81	82	18
82	83	17
83	83	15
84	84	14
85	84	13
86	85	12
87	85	11
88	86	10
89	86	9
90	86	8
91	87	7
92	87	6
93	88	5
94	88	4
95	89	3
96	89	2
97	90	1
98	90	0
99	91	0
