Active metal,Derived,Electrode support,Catalyst size,Potential,Anion Electrolyte ,[C] of Anion (M),Cation Electrolyte ,[C] of Cation (M),Membrane,H2,CO,C1,C2+,,,Paper,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-0.846,K+,0.1,HCO3-,0.1,proton exchange membrane,24.4,19.6,26.265,29.74,,,Structural evolution and strain generation of derived-Cu catalysts during CO2 electroreduction,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-0.926,K+,0.1,HCO3-,0.1,proton exchange membrane,16.8,9.2,16.7245,57.2755,,,,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-0.98,K+,0.1,HCO3-,0.1,proton exchange membrane,15.2,6.8,15.7275,62.2725,,,,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-1.05,K+,0.1,HCO3-,0.1,proton exchange membrane,13.6,4,9.573,72.827,,,,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-1.106,K+,0.1,HCO3-,0.1,proton exchange membrane,10,2.4,17.2335,70.3665,,,,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-1.172,K+,0.1,HCO3-,0.1,proton exchange membrane,12,2,19.4905,66.5095,,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-0.821,K+,0.1,HCO3-,0.1,proton exchange membrane,18.8,28.4,27.64687,25.15313,,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-0.918,K+,0.1,HCO3-,0.1,proton exchange membrane,15.6,20.8,20.25551,43.34449,,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-0.968,K+,0.1,HCO3-,0.1,proton exchange membrane,16.4,16.8,16.83805,49.96195,,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-1.084,K+,0.1,HCO3-,0.1,proton exchange membrane,10.8,6,11.31634,71.88366,,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-1.224,K+,0.1,HCO3-,0.1,proton exchange membrane,20.4,4,7.73155,67.86845,,,,,
CuxO,oxide ,glassy carbon,11.69,-0.851,K+,0.1,HCO3-,0.1,proton exchange membrane,45.8,9.2,20.66527,24.33473,,,,,
CuxO,oxide ,glassy carbon,11.69,-0.957,K+,0.1,HCO3-,0.1,proton exchange membrane,36.14,4.02,12.45188,47.38812,,,,,
CuxO,oxide ,glassy carbon,11.69,-1.051,K+,0.1,HCO3-,0.1,proton exchange membrane,23.29,2.41,6.14455,68.15545,,,,,
CuxO,oxide ,glassy carbon,11.69,-1.162,K+,0.1,HCO3-,0.1,proton exchange membrane,0.257,27.043,4.05437,68.64563,,,,,
CuxO,oxide ,glassy carbon,11.69,-1.245,K+,0.1,HCO3-,0.1,proton exchange membrane,34.54,1.6,3.9178,59.9422,,,,,
Cu ,nanowires,glassy carbon,29,-0.808,K+,0.1,HCO3-,0.1,proton exchange membrane,37.75,9.24,51.40562249,1.60437751,,,,,
Cu ,nanowires,glassy carbon,29,-0.958,K+,0.1,HCO3-,0.1,proton exchange membrane,25.3,7.6,32.12851406,34.97148594,,,,,
Cu ,nanowires,glassy carbon,29,-1.029,K+,0.1,HCO3-,0.1,proton exchange membrane,23.86,4.65,26.10441767,45.38558233,,,,,
Cu ,nanowires,glassy carbon,29,-1.06,K+,0.1,HCO3-,0.1,proton exchange membrane,22.09,3.61,26.5060241,47.7939759,,,,,
Cu ,nanowires,glassy carbon,29,-1.101,K+,0.1,HCO3-,0.1,proton exchange membrane,39.36,4.42,38.15261044,18.06738956,,,,,
Cu,nanoparticle,-,50,-1,K+,0.1,HCO3-,0.1,Anion exchange membrane,20.088,15.066,46.079,18.767,,,Steering surface reconstruction of copper with electrolyte additives for CO2 electroreduction,,
Cu,nanoparticle,glassy carbon,2.3,-1.1,K+,0.1,HCO3-,0.1,glass frit,61.1,26.48,12.22,1.11,,,Particle size effects in the catalytic electroreduction of CO2 on Cu nanoparticles,,
Cu,nanoparticle,glassy carbon,4.8,-1.1,K+,0.1,HCO3-,0.1,glass frit,68.15,12.04,15.74,4.44,,,,,
Cu,nanoparticle,glassy carbon,6.7,-1.1,K+,0.1,HCO3-,0.1,glass frit,69.81,20.74,9.815,0.185,,,,,
Cu,nanoparticle,glassy carbon,13.1,-1.1,K+,0.1,HCO3-,0.1,glass frit,64.26,20.56,6.852,8.333,,,,,
Cu,nanoparticle,glassy carbon,15.1,-1.1,K+,0.1,HCO3-,0.1,glass frit,59.81,25.55,12.96,2.222,,,,,
Cu,nanoparticle,carbon paper,7,-0.8,K+,0.1,HCO3-,0.1,Anion exchange membrane,34.68,10.95,10.07,44.3,,,Operando studies reveal active Cu nanograins for CO2 electroreduction,,
Cu,nanoparticle,carbon paper,10,-0.8,K+,0.1,HCO3-,0.1,Anion exchange membrane,46.97,13.73,12.1,27.2,,,,,
Cu,nanoparticle,carbon paper,18,-0.8,K+,0.1,HCO3-,0.1,Anion exchange membrane,47.35,21.82,23.93,6.9,,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,11.2195122,2.682926829,29.26829268,46.58536585,,,CO2 electroreduction to hydrocarbons on carbon-supported Cu nanoparticles,,
Cu,nanoparticle,Vulcan XC-72R,12,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,15.36585366,4.390243902,15.12195122,43.41463415,,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,20.97560976,10.24390244,15.85365854,34.63414634,,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,29.51219512,20.24390244,1.219512195,10.97560976,,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,51.95121951,16.09756098,0,0,,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,72.68292683,15.12195122,0.975609756,0,,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,15.85365854,2.682926829,32.68292683,43.17073171,,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,21.2195122,3.902439024,29.75609756,35.6097561,,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,22.43902439,7.804878049,16.58536585,35.85365854,,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,39.51219512,18.04878049,1.219512195,15.6097561,,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,43.65853659,15.6097561,0,0,,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,83.65853659,9.268292683,0,0,,,,,
Cu,nanoparticle,Ketjen Black,24,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,14.3902439,2.195121951,42.92682927,33.90243902,,,,,
Cu,nanoparticle,Ketjen Black,24,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,16.58536585,3.414634146,28.53658537,34.14634146,,,,,
Cu,nanoparticle,Ketjen Black,24,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,27.56097561,3.902439024,13.41463415,15.12195122,,,,,
Cu,nanoparticle,Ketjen Black,24,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,42.09756098,14.87804878,4.634146341,8.292682927,,,,,
Cu,nanoparticle,Ketjen Black,24,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,50.24390244,5.365853659,1.219512195,0.243902439,,,,,
Cu,nanoparticle,Ketjen Black,24,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,86.82926829,8.048780488,0,0,,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,18.04878049,0.975609756,34.3902439,37.07317073,,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,19.51219512,2.926829268,34.14634146,32.43902439,,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,25.85365854,6.829268293,22.92682927,25.12195122,,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,49.02439024,10.73170732,1.463414634,3.902439024,,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,60.24390244,3.902439024,0,0,,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,83.65853659,0,0,0,,,,,
Cu,nanoparticle,carbon paper,25,-0.49,Na+,0.95,ClO4-,0.95,proton exchange membrane,85.255,6.113333333,5.566666667,0.023333333,,,Promoting Cu-catalysed CO2 electroreduction to multicarbon products by tuning the activity of H2O,,
Cu,nanoparticle,carbon paper,25,-0.58,Na+,0.95,ClO4-,0.95,proton exchange membrane,79.06333333,12.82,5.987666667,0.055,,,,,
Cu,nanoparticle,carbon paper,25,-0.67,Na+,0.95,ClO4-,0.95,proton exchange membrane,67.59666667,23.03666667,7.922666667,0.177333333,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,0.95,ClO4-,0.95,proton exchange membrane,60.33372354,27.554,10.12333333,1.537,,,,,
Cu,nanoparticle,carbon paper,25,-0.82,Na+,0.95,ClO4-,0.95,proton exchange membrane,34.94666667,35.39166667,18.24333333,9.513333333,,,,,
Cu,nanoparticle,carbon paper,25,-0.88,Na+,0.95,ClO4-,0.95,proton exchange membrane,32.17733333,28.87166667,23.84033333,15.304,,,,,
Cu,nanoparticle,carbon paper,25,-0.49,Na+,5.38,ClO4-,5.38,proton exchange membrane,76.24333333,11.03333333,11.81766667,0.373333333,,,,,
Cu,nanoparticle,carbon paper,25,-0.58,Na+,5.38,ClO4-,5.38,proton exchange membrane,71.43333333,11.48766667,8.493333333,6.393333333,,,,,
Cu,nanoparticle,carbon paper,25,-0.67,Na+,5.38,ClO4-,5.38,proton exchange membrane,52.34366667,18.42,14.28333333,5.683333333,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,5.38,ClO4-,5.38,proton exchange membrane,16.02,35.91333333,10.88,33.535,,,,,
Cu,nanoparticle,carbon paper,25,-0.82,Na+,5.38,ClO4-,5.38,proton exchange membrane,8.606666667,16.47666667,7.183333333,65.93666667,,,,,
Cu,nanoparticle,carbon paper,25,-0.88,Na+,5.38,ClO4-,5.38,proton exchange membrane,12.83,11.22333333,5.313333333,64.69,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,0.95,ClO4-,0.95,proton exchange membrane,60.33372354,27.554,10.12333333,1.537,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,2.55,ClO4-,2.55,proton exchange membrane,40.27,34.04,8.801,7.516666667,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,3.89,ClO4-,3.89,proton exchange membrane,22.53,33.09,10.29,28.47333333,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,5.38,ClO4-,5.38,proton exchange membrane,16.02,35.91333333,11.64,33.535,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,6.33,ClO4-,6.33,proton exchange membrane,24.955,23.13333333,8.365,35.84333333,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,7.12,ClO4-,7.12,proton exchange membrane,16,28.5,7.013333333,46.83,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,7.99,ClO4-,7.99,proton exchange membrane,19.01757426,24.9325,7.223333333,50.36,,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,8.49,ClO4-,8.49,proton exchange membrane,10.12666667,18.685,9.266666667,57.40333333,,,,,
Cu,cube,carbon paper,220,-1.12,K+,0.1,HCO3-,0.1,Anion exchange membrane,35.35211268,0.845070423,54.92957746,8.309859155,,,"Dynamic Changes in the Structure, Chemical State and Catalytic Selectivity of Cu Nanocubes during CO2 Electroreduction: Size and Support Effects",,
Cu,cube,carbon paper,220,-1.05,K+,0.1,HCO3-,0.1,Anion exchange membrane,28.45070423,3.098591549,42.11267606,25.77464789,,,,,
Cu,cube,carbon paper,220,-0.98,K+,0.1,HCO3-,0.1,Anion exchange membrane,10.14084507,23.8028169,43.52112676,22.95774648,,,,,
Cu,cube,carbon paper,220,-0.88,K+,0.1,HCO3-,0.1,Anion exchange membrane,40.14084507,14.92957746,42.53521127,2.112676056,,,,,
Cu,cube,carbon paper,320,-1.12,K+,0.1,HCO3-,0.1,Anion exchange membrane,19.12790698,2.48,75.62874251,12.49146789,,,,,
Cu,cube,carbon paper,320,-1.05,K+,0.1,HCO3-,0.1,Anion exchange membrane,8.343023256,5.68,71.44710579,21.75605798,,,,,
Cu,cube,carbon paper,320,-1,K+,0.1,HCO3-,0.1,Anion exchange membrane,12.4127907,5.84,56.59680639,36.04215739,,,,,
