Active metal,Derived,Electrode support,Catalyst size,Potential,Anion Electrolyte ,[C] of Anion (M),Cation Electrolyte ,[C] of Cation (M),Membrane,,H2,CO,C1,C2+,,Paper,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-0.846,K+,0.1,HCO3-,0.1,proton exchange membrane,,24.4,19.6,26.265,29.74,,Structural evolution and strain generation of derived-Cu catalysts during CO2 electroreduction,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-0.926,K+,0.1,HCO3-,0.1,proton exchange membrane,,16.8,9.2,16.7245,57.2755,,,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-0.98,K+,0.1,HCO3-,0.1,proton exchange membrane,,15.2,6.8,15.7275,62.2725,,,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-1.05,K+,0.1,HCO3-,0.1,proton exchange membrane,,13.6,4,9.573,72.827,,,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-1.106,K+,0.1,HCO3-,0.1,proton exchange membrane,,10,2.4,17.2335,70.3665,,,,
Cu2(OH)2CO3,cupric carbonate basic,glassy carbon,11.81,-1.172,K+,0.1,HCO3-,0.1,proton exchange membrane,,12,2,19.4905,66.5095,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-0.821,K+,0.1,HCO3-,0.1,proton exchange membrane,,18.8,28.4,27.64687,25.15313,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-0.918,K+,0.1,HCO3-,0.1,proton exchange membrane,,15.6,20.8,20.25551,43.34449,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-0.968,K+,0.1,HCO3-,0.1,proton exchange membrane,,16.4,16.8,16.83805,49.96195,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-1.084,K+,0.1,HCO3-,0.1,proton exchange membrane,,10.8,6,11.31634,71.88366,,,,
Cu(OH)2,hydroxide ,glassy carbon,11.72,-1.224,K+,0.1,HCO3-,0.1,proton exchange membrane,,20.4,4,7.73155,67.86845,,,,
CuO,oxide ,glassy carbon,11.69,-0.851,K+,0.1,HCO3-,0.1,proton exchange membrane,,45.8,9.2,20.66527,24.33473,,,,
CuO,oxide ,glassy carbon,11.69,-0.957,K+,0.1,HCO3-,0.1,proton exchange membrane,,36.14,4.02,12.45188,47.38812,,,,
CuO,oxide ,glassy carbon,11.69,-1.051,K+,0.1,HCO3-,0.1,proton exchange membrane,,23.29,2.41,6.14455,68.15545,,,,
CuO,oxide ,glassy carbon,11.69,-1.162,K+,0.1,HCO3-,0.1,proton exchange membrane,,0.257,27.043,4.05437,68.64563,,,,
CuO,oxide ,glassy carbon,11.69,-1.245,K+,0.1,HCO3-,0.1,proton exchange membrane,,34.54,1.6,3.9178,59.9422,,,,
Cu ,nanowires,glassy carbon,29,-0.808,K+,0.1,HCO3-,0.1,proton exchange membrane,,37.75,9.24,51.40562249,1.60437751,,,,
Cu ,nanowires,glassy carbon,29,-0.958,K+,0.1,HCO3-,0.1,proton exchange membrane,,25.3,7.6,32.12851406,34.97148594,,,,
Cu ,nanowires,glassy carbon,29,-1.029,K+,0.1,HCO3-,0.1,proton exchange membrane,,23.86,4.65,26.10441767,45.38558233,,,,
Cu ,nanowires,glassy carbon,29,-1.06,K+,0.1,HCO3-,0.1,proton exchange membrane,,22.09,3.61,26.5060241,47.7939759,,,,
Cu ,nanowires,glassy carbon,29,-1.101,K+,0.1,HCO3-,0.1,proton exchange membrane,,39.36,4.42,38.15261044,18.06738956,,,,
Cu,foil,-,4500,-0.9,K+,0.1,HCO3-,0.1,proton exchange membrane,,72.8,7.6,14.15127,5.44873,,,,
Cu,foil,-,4500,-0.94,K+,0.1,HCO3-,0.1,proton exchange membrane,,78.8,7.2,8.47543,5.52457,,,,
Cu,foil,-,4500,-1.02,K+,0.1,HCO3-,0.1,proton exchange membrane,,70,10.4,13.66158,5.93842,,,,
Cu,foil,-,4500,-1.08,K+,0.1,HCO3-,0.1,proton exchange membrane,,62,16.8,16.48646,4.71354,,,,
Cu,foil,-,4500,-1.12,K+,0.1,HCO3-,0.1,proton exchange membrane,,38.8,9.6,38.60345,12.99655,,,,
Cu,foil,-,4500,-1.14,K+,0.1,HCO3-,0.1,proton exchange membrane,,22.4,4.8,63.12655,9.67345,,,,
Cu,nanoparticle,-,50,-1,K+,0.1,HCO3-,0.1,Anion exchange membrane,,20.088,15.066,46.079,18.767,,Steering surface reconstruction of copper with electrolyte additives for CO2 electroreduction,,
Cu,nanoparticle,glassy carbon,2.3,-1.1,K+,0.1,HCO3-,0.1,glass frit,,61.1,26.48,12.22,1.11,,Particle size effects in the catalytic electroreduction of CO2 on Cu nanoparticles,,
Cu,nanoparticle,glassy carbon,4.8,-1.1,K+,0.1,HCO3-,0.1,glass frit,,68.15,12.04,15.74,4.44,,,,
Cu,nanoparticle,glassy carbon,6.7,-1.1,K+,0.1,HCO3-,0.1,glass frit,,69.81,20.74,9.815,0.185,,,,
Cu,nanoparticle,glassy carbon,13.1,-1.1,K+,0.1,HCO3-,0.1,glass frit,,64.26,20.56,6.852,8.333,,,,
Cu,nanoparticle,glassy carbon,15.1,-1.1,K+,0.1,HCO3-,0.1,glass frit,,59.81,25.55,12.96,2.222,,,,
Cu,foil,-,4500,-1.1,K+,0.1,HCO3-,0.1,glass frit,,19.26,2.407,56.67,21.48,,,,
Cu,nanoparticle,carbon paper,7,-0.8,K+,0.1,HCO3-,0.1,Anion exchange membrane,,34.68,10.95,10.07,44.3,,Operando studies reveal active Cu nanograins for CO2 electroreduction,,
Cu,nanoparticle,carbon paper,10,-0.8,K+,0.1,HCO3-,0.1,Anion exchange membrane,,46.97,13.73,12.1,27.2,,,,
Cu,nanoparticle,carbon paper,18,-0.8,K+,0.1,HCO3-,0.1,Anion exchange membrane,,47.35,21.82,23.93,6.9,,,,
Cu,foil,-,4500,-1,K+,0.1,HCO3-,0.1,glass frit,,25.66371681,3.733,39.27584956,31.32743363,,Tuning the Catalytic Activity and Selectivity of Cu for CO2 Electroreduction in the Presence of Halides,,
Cu,foil,-,4500,-1,K+,0.4,HCO3- and Br-,0.1+0.3,glass frit,,21.01769912,9.6,33.9840708,35.39823009,,,,
Cu,foil,-,4500,-1,K+,0.4,HCO3- and Cl-,0.1+0.3,glass frit,,16.81415929,14.76,36.21345133,32.21238938,,,,
Cu,foil,-,4500,-1,K+,0.4,HCO3- and I-,0.1+0.3,glass frit,,13.49557522,0.6222,27.82912743,58.05309735,,,,
Cu,foil,-,4500,-0.95,K+,0.1,HCO3-,0.1,glass frit,,43.14159292,8.356,36.46700885,12.03539823,,,,
Cu,foil,-,4500,-0.95,K+,0.4,HCO3- and Br-,0.1+0.3,glass frit,,32.74336283,14.13,37.55141593,15.57522124,,,,
Cu,foil,-,4500,-0.95,K+,0.4,HCO3- and Cl-,0.1+0.3,glass frit,,41.59292035,27.02,25.90035398,5.486725664,,,,
Cu,foil,-,4500,-0.95,K+,0.4,HCO3- and I-,0.1+0.3,glass frit,,31.63716814,4.089,28.34462832,35.92920354,,,,
Cu,foil,-,4500,-0.9,K+,0.1,HCO3-,0.1,glass frit,,50.22123894,9.956,38.58382301,1.238938053,,,,
Cu,foil,-,4500,-0.9,K+,0.4,HCO3- and Br-,0.1+0.3,glass frit,,53.09734513,16.89,27.18079646,2.831858407,,,,
Cu,foil,-,4500,-0.9,K+,0.4,HCO3- and Cl-,0.1+0.3,glass frit,,52.87610619,22.13,23.04699115,1.946902655,,,,
Cu,foil,-,4500,-0.9,K+,0.4,HCO3- and I-,0.1+0.3,glass frit,,51.32743363,6.578,28.64323894,13.45132743,,,,
Cu,foil,-,4500,-0.85,K+,0.1,HCO3-,0.1,glass frit,,55.75221239,8,35.53982301,0.707964602,,,,
Cu,foil,-,4500,-0.85,K+,0.4,HCO3- and Br-,0.1+0.3,glass frit,,57.52212389,10.76,30.47893805,1.238938053,,,,
Cu,foil,-,4500,-0.85,K+,0.4,HCO3- and Cl-,0.1+0.3,glass frit,,69.46902655,8.533,20.7590354,1.238938053,,,,
Cu,foil,-,4500,-0.85,K+,0.4,HCO3- and I-,0.1+0.3,glass frit,,55.30973451,9.778,33.67332743,1.238938053,,,,
Cu,foil,-,4500,-0.8,K+,0.1,HCO3-,0.1,glass frit,,63.49557522,5.956,30.54842478,0,,,,
Cu,foil,-,4500,-0.8,K+,0.4,HCO3- and Br-,0.1+0.3,glass frit,,68.5840708,8.978,22.4379292,0,,,,
Cu,foil,-,4500,-0.8,K+,0.4,HCO3- and Cl-,0.1+0.3,glass frit,,82.07964602,7.2,10.72035398,0,,,,
Cu,foil,-,4500,-0.8,K+,0.4,HCO3- and I-,0.1+0.3,glass frit,,71.01769912,4.8,24.18230088,0,,,,
Cu,foil,-,4500,-0.75,K+,0.1,HCO3-,0.1,glass frit,,77.43362832,4.444,18.12237168,0,,,,
Cu,foil,-,4500,-0.75,K+,0.4,HCO3- and Br-,0.1+0.3,glass frit,,67.92035398,12.09,19.98964602,0,,,,
Cu,foil,-,4500,-0.75,K+,0.4,HCO3- and Cl-,0.1+0.3,glass frit,,88.49557522,3.2,8.304424779,0,,,,
Cu,foil,-,4500,-0.75,K+,0.4,HCO3- and I-,0.1+0.3,glass frit,,84.95575221,0.356,14.68824779,0,,,,
Cu,foil,-,4500,-0.7,K+,0.1,HCO3-,0.1,glass frit,,89.38053097,2.276,8.343469027,0,,,,
Cu,foil,-,4500,-0.7,K+,0.4,HCO3- and Br-,0.1+0.3,glass frit,,86.28318584,3.111,10.60581416,0,,,,
Cu,foil,-,4500,-0.7,K+,0.4,HCO3- and Cl-,0.1+0.3,glass frit,,97.78761062,1.244,0.968389381,0,,,,
Cu,foil,-,4500,-0.7,K+,0.4,HCO3- and I-,0.1+0.3,glass frit,,95.3539823,0.2667,4.379317699,0,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,11.2195122,2.682926829,29.26829268,46.58536585,,CO2 electroreduction to hydrocarbons on carbon-supported Cu nanoparticles,,
Cu,nanoparticle,Vulcan XC-72R,12,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,15.36585366,4.390243902,15.12195122,43.41463415,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,20.97560976,10.24390244,15.85365854,34.63414634,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,,29.51219512,20.24390244,1.219512195,10.97560976,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,,51.95121951,16.09756098,0,0,,,,
Cu,nanoparticle,Vulcan XC-72R,12,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,72.68292683,15.12195122,0.975609756,0,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,15.85365854,2.682926829,32.68292683,43.17073171,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,21.2195122,3.902439024,29.75609756,35.6097561,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,22.43902439,7.804878049,16.58536585,35.85365854,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,,39.51219512,18.04878049,1.219512195,15.6097561,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,,43.65853659,15.6097561,0,0,,,,
Cu,nanoparticle,single-wall carbon nanotubes,19,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,83.65853659,9.268292683,0,0,,,,
Cu,nanoparticle,Ketjen Black,24,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,14.3902439,2.195121951,42.92682927,33.90243902,,,,
Cu,nanoparticle,Ketjen Black,24,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,16.58536585,3.414634146,28.53658537,34.14634146,,,,
Cu,nanoparticle,Ketjen Black,24,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,27.56097561,3.902439024,13.41463415,15.12195122,,,,
Cu,nanoparticle,Ketjen Black,24,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,,42.09756098,14.87804878,4.634146341,8.292682927,,,,
Cu,nanoparticle,Ketjen Black,24,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,,50.24390244,5.365853659,1.219512195,0.243902439,,,,
Cu,nanoparticle,Ketjen Black,24,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,86.82926829,8.048780488,0,0,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,18.04878049,0.975609756,34.3902439,37.07317073,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,19.51219512,2.926829268,34.14634146,32.43902439,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,25.85365854,6.829268293,22.92682927,25.12195122,,,,
